"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Abel Figueiredo (PA)";"16919";"19660";"29135";"29149";"28395";"32523";"34149";"41656";"39894";"43001";"46281";"48878";"45115"
"Acará (PA)";"78743";"94457";"112617";"143555";"135697";"157979";"183945";"219581";"196775";"240688";"235954";"248777";"280301"
"Afuá (PA)";"39466";"49331";"51881";"58320";"63994";"70034";"68633";"72667";"89770";"100122";"114180";"124239";"154172"
"Água Azul do Norte (PA)";"43287";"59760";"72951";"88539";"97807";"152744";"211012";"206154";"222237";"188732";"195095";"216666";"267144"
"Alenquer (PA)";"58538";"69294";"80498";"94158";"105187";"111764";"124375";"151714";"168118";"208376";"244998";"256015";"273284"
"Almeirim (PA)";"332583";"395991";"573022";"512750";"494724";"457309";"424493";"415443";"486130";"346796";"429724";"438792";"494551"
"Altamira (PA)";"208946";"214558";"261434";"299297";"338566";"368914";"407459";"518887";"567440";"609984";"725325";"889056";"1228811"
"Anajás (PA)";"18809";"25116";"32778";"32834";"34665";"38240";"42903";"48507";"55987";"62657";"68309";"76753";"86396"
"Ananindeua (PA)";"962542";"1171015";"1334357";"1528819";"1890013";"2172091";"2458867";"2795954";"3085799";"3253847";"3672050";"3904306";"4155795"
"Anapu (PA)";"13379";"20781";"24725";"30261";"35699";"41219";"48041";"65037";"76776";"77447";"93517";"107983";"142508"
"Augusto Corrêa (PA)";"33480";"44529";"47733";"55176";"60978";"69652";"81736";"94019";"105229";"111203";"132400";"149688";"163661"
"Aurora do Pará (PA)";"33010";"42193";"50325";"56675";"57242";"68389";"63499";"69834";"77742";"86158";"126661";"115991";"131584"
"Aveiro (PA)";"12851";"15419";"17485";"22401";"25897";"31053";"32753";"39099";"49197";"54482";"53043";"53792";"59111"
"Bagre (PA)";"14928";"21764";"22786";"23533";"22045";"24958";"30196";"35159";"41416";"45806";"56656";"61739";"70417"
"Baião (PA)";"40616";"64350";"65527";"59918";"54477";"66240";"74973";"90246";"96158";"106128";"145745";"158550";"155288"
