"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Rolândia (PR)";"354935";"382998";"460820";"591262";"691440";"673517";"731664";"805992";"929286";"1135722";"1294352";"1342292";"1343033"
"Roncador (PR)";"50595";"57699";"75999";"92335";"96579";"90705";"96869";"105195";"143267";"148405";"149166";"183937";"210166"
"Rondon (PR)";"44206";"47311";"60879";"88759";"89805";"94031";"127545";"133724";"140400";"168644";"176984";"199413";"213409"
"Rosário do Ivaí (PR)";"15852";"16840";"19631";"24573";"25892";"30684";"46428";"51190";"37571";"41238";"48355";"49257";"58276"
"Sabáudia (PR)";"28762";"31886";"35170";"47762";"52880";"44221";"47921";"67636";"79208";"71493";"122835";"147930";"158606"
"Salgado Filho (PR)";"17210";"17365";"22995";"26302";"29611";"31642";"36693";"43592";"54923";"51588";"72172";"74173";"71647"
"Salto do Itararé (PR)";"14269";"17889";"18078";"21057";"25643";"24121";"30064";"30972";"38218";"36816";"103922";"101849";"126242"
"Salto do Lontra (PR)";"39398";"42131";"53615";"72674";"75316";"75565";"84310";"101068";"107846";"116765";"144827";"174894";"202621"
"Santa Amélia (PR)";"12900";"14846";"16760";"24686";"28808";"20098";"25447";"26168";"31072";"31112";"40191";"43809";"55850"
"Santa Cecília do Pavão (PR)";"14051";"12412";"21204";"30283";"36381";"32013";"35115";"42301";"47434";"52593";"56807";"62388";"70812"
"Santa Cruz de Monte Castelo (PR)";"26315";"27613";"33490";"44485";"51765";"55232";"59744";"64095";"78070";"87053";"99721";"105086";"122387"
"Santa Fé (PR)";"33214";"35779";"47872";"66264";"72068";"73356";"73725";"84267";"101640";"103978";"117459";"162301";"201113"
"Santa Helena (PR)";"111148";"119120";"144843";"210373";"216701";"227575";"228436";"269385";"313136";"287900";"360358";"413955";"449969"
"Santa Inês (PR)";"7682";"7345";"10325";"15527";"14922";"14114";"13003";"16779";"18596";"20582";"24939";"28646";"28942"
"Santa Isabel do Ivaí (PR)";"29632";"30697";"42317";"53849";"61387";"62129";"63380";"73933";"85695";"90510";"105888";"106055";"124072"
"Santa Izabel do Oeste (PR)";"47654";"50829";"60633";"79951";"82733";"77424";"81428";"112752";"124039";"122791";"155480";"183017";"197142"
"Santa Lúcia (PR)";"15329";"15195";"20675";"26768";"29275";"26435";"26121";"32358";"35935";"35002";"49806";"59429";"67931"
"Santa Maria do Oeste (PR)";"24940";"33709";"45051";"53547";"53015";"47253";"48869";"63432";"67506";"66480";"73735";"83788";"90355"
"Santa Mariana (PR)";"52010";"65555";"80757";"124669";"129820";"104809";"98871";"123593";"153139";"114814";"155314";"173317";"189054"
"Santa Mônica (PR)";"10831";"10990";"14492";"20779";"27259";"23664";"24512";"29554";"37950";"36358";"45282";"44705";"54287"
"Santana do Itararé (PR)";"19155";"20407";"24015";"33477";"32718";"30375";"32657";"34410";"51007";"45413";"47552";"57848";"65376"
"Santa Tereza do Oeste (PR)";"41032";"44106";"59931";"85387";"89743";"81362";"78363";"99784";"120208";"122288";"151913";"184837";"197333"
"Santa Terezinha de Itaipu (PR)";"85162";"94145";"118175";"149477";"137142";"149485";"154819";"208808";"224124";"255069";"246191";"273830";"298273"
"Santo Antônio da Platina (PR)";"136394";"135409";"179892";"218652";"239404";"270297";"310244";"337186";"351765";"427291";"486225";"540188";"607974"
"Santo Antônio do Caiuá (PR)";"9613";"10157";"12258";"16844";"16368";"16576";"17598";"18962";"23657";"26524";"31414";"27646";"31448"
"Santo Antônio do Paraíso (PR)";"11187";"13462";"17719";"27688";"28896";"20543";"18785";"25225";"32873";"28552";"31971";"39595";"45183"
"Santo Antônio do Sudoeste (PR)";"55927";"56648";"68802";"90224";"93243";"88956";"101588";"120518";"141120";"154831";"162702";"213857";"246715"
"Santo Inácio (PR)";"21568";"24050";"41035";"54541";"53844";"53603";"55112";"75108";"115221";"127402";"187357";"195529";"297836"
"São Carlos do Ivaí (PR)";"37780";"36635";"48224";"69094";"75492";"76402";"100024";"94930";"108467";"132550";"142601";"155823";"163302"
"São Jerônimo da Serra (PR)";"27399";"30607";"35995";"53256";"65602";"56236";"60425";"68672";"92614";"88150";"83808";"113659";"116339"
"São João (PR)";"61871";"62835";"81285";"115141";"128367";"109922";"109756";"141242";"165122";"187638";"212386";"286233";"365904"
"São João do Caiuá (PR)";"17972";"18923";"23955";"28554";"29743";"31232";"37864";"37845";"44457";"45634";"60183";"66026";"69271"
"São João do Ivaí (PR)";"56984";"63582";"73165";"95721";"104826";"89823";"96578";"103882";"123893";"126578";"136078";"147412";"174155"
"São João do Triunfo (PR)";"29131";"31246";"39031";"60689";"70323";"72600";"86212";"94717";"107156";"95409";"125561";"118923";"130253"
"São Jorge d'Oeste (PR)";"35105";"33045";"45078";"59806";"63912";"62168";"63641";"80923";"91570";"93634";"109781";"123536";"136000"
"São Jorge do Ivaí (PR)";"57496";"67428";"81883";"112819";"112740";"92715";"83056";"101790";"111321";"107831";"135440";"159676";"175266"
"São Jorge do Patrocínio (PR)";"17488";"19061";"23496";"28347";"31609";"32298";"36639";"40125";"45076";"43281";"63337";"60938";"77203"
"São José da Boa Vista (PR)";"17504";"19848";"26947";"40062";"40118";"40202";"41569";"50822";"67907";"64637";"71240";"86235";"90992"
"São José das Palmeiras (PR)";"15250";"16073";"18762";"24230";"23567";"24018";"24952";"28501";"35270";"33612";"43557";"44954";"46762"
"São José dos Pinhais (PR)";"3685026";"4594465";"4547380";"5271805";"6207951";"6469185";"7029321";"8524230";"10397115";"11508519";"13774355";"15294553";"15419051"
"São Manoel do Paraná (PR)";"9466";"9015";"11842";"15835";"16345";"14040";"15693";"18282";"19858";"18891";"22160";"26918";"29122"
"São Mateus do Sul (PR)";"231570";"232019";"288086";"320483";"363243";"365648";"412249";"465671";"551757";"551719";"594525";"635510";"742107"
"São Miguel do Iguaçu (PR)";"163259";"179862";"225247";"304320";"294453";"303364";"304553";"388447";"387226";"452774";"529450";"575879";"620157"
"São Pedro do Iguaçu (PR)";"38404";"39360";"47815";"70044";"72893";"62956";"64376";"69610";"94804";"84505";"88942";"98479";"104348"
"São Pedro do Ivaí (PR)";"57684";"61576";"79153";"95211";"104447";"98967";"129126";"140227";"169746";"156431";"190475";"205614";"209663"
"São Pedro do Paraná (PR)";"15281";"12922";"15075";"17750";"19737";"20187";"23933";"24268";"27018";"30868";"33942";"37263";"46663"
"São Sebastião da Amoreira (PR)";"33093";"36743";"47151";"71233";"79025";"65107";"68136";"78148";"78136";"91510";"96202";"113343";"160754"
"São Tomé (PR)";"31634";"33984";"36465";"56843";"60555";"58220";"74120";"70221";"77168";"89846";"98097";"102670";"112000"
"Sapopema (PR)";"16098";"17095";"21603";"30037";"34916";"36126";"39996";"43966";"52316";"51232";"62074";"66943";"74093"
"Sarandi (PR)";"197824";"210930";"248100";"303169";"357217";"384967";"380175";"447539";"511222";"567386";"709842";"736459";"814142"
"Saudade do Iguaçu (PR)";"13447";"12882";"16750";"23726";"26664";"25947";"26936";"33997";"324576";"326596";"440695";"480136";"351021"
"Sengés (PR)";"94236";"104330";"124212";"197817";"254138";"293781";"233513";"237379";"212506";"211372";"251106";"271218";"292436"
"Serranópolis do Iguaçu (PR)";"32335";"33296";"41623";"60546";"56295";"53301";"47597";"61967";"66448";"63734";"75393";"90095";"107809"
"Sertaneja (PR)";"43617";"57625";"63429";"109404";"114050";"82743";"69313";"118205";"131324";"103145";"143865";"171289";"202857"
"Sertanópolis (PR)";"122257";"148999";"175177";"217610";"218787";"214965";"222644";"243773";"230727";"281723";"287817";"330020";"419614"
"Siqueira Campos (PR)";"44087";"48664";"70152";"85964";"95083";"105203";"118260";"128257";"148492";"161116";"222259";"253553";"284011"
"Sulina (PR)";"14073";"14413";"18618";"25586";"30342";"27726";"26368";"31583";"43408";"42535";"46842";"55336";"64198"
"Tamarana (PR)";"37598";"40500";"52053";"72131";"72084";"79470";"66618";"92289";"115920";"106563";"148777";"157687";"201541"
"Tamboara (PR)";"16282";"17639";"23016";"33145";"32195";"30504";"36861";"39297";"41075";"47871";"60618";"58995";"71095"
"Tapejara (PR)";"58488";"70796";"77741";"115429";"124188";"126589";"157210";"160195";"195994";"226480";"265675";"289939";"320913"
"Tapira (PR)";"21789";"21913";"27461";"39957";"45413";"42538";"49801";"50729";"58676";"58458";"72904";"73546";"85563"
"Teixeira Soares (PR)";"50066";"47652";"64763";"97632";"96247";"78677";"73720";"81195";"114910";"85234";"105045";"120355";"139605"
"Telêmaco Borba (PR)";"443915";"458761";"573679";"709654";"924619";"958193";"1149355";"1185307";"1109831";"1229237";"1451790";"1540474";"1660740"
"Terra Boa (PR)";"54725";"60694";"71888";"91911";"98098";"87075";"98023";"113800";"122235";"135527";"186449";"232406";"271456"
"Terra Rica (PR)";"45422";"46755";"58891";"75476";"79321";"81045";"88747";"100078";"148147";"177436";"194675";"221059";"247894"
"Terra Roxa (PR)";"96440";"102977";"140375";"195617";"168866";"162676";"162039";"246257";"273611";"257374";"321377";"355855";"358309"
"Tibagi (PR)";"141596";"149908";"168978";"293735";"278505";"256424";"306960";"335096";"383651";"324530";"364846";"427144";"489953"
"Tijucas do Sul (PR)";"33243";"53571";"65349";"84510";"81722";"89533";"92822";"110253";"125337";"150697";"214969";"221464";"260415"
"Toledo (PR)";"754230";"819072";"1014095";"1386534";"1494527";"1537456";"1638839";"1850647";"2153806";"2426710";"2472031";"2624774";"2785246"
"Tomazina (PR)";"23529";"25699";"33227";"43861";"50101";"46653";"48743";"52939";"69061";"67336";"93072";"96646";"109837"
"Três Barras do Paraná (PR)";"43098";"39091";"51803";"72645";"77815";"74474";"80467";"96085";"122453";"132770";"166688";"181640";"194039"
"Tunas do Paraná (PR)";"8059";"8451";"11509";"34786";"22122";"70939";"50196";"47597";"41767";"43722";"49561";"52620";"56180"
"Tuneiras do Oeste (PR)";"29506";"31699";"37944";"56470";"63462";"54381";"62259";"74499";"76810";"85457";"99259";"102073";"126761"
"Tupãssi (PR)";"54014";"65933";"78283";"106150";"103308";"88754";"91229";"115293";"139879";"137535";"157811";"181903";"200042"
"Turvo (PR)";"48056";"49411";"59234";"89135";"100338";"106125";"103848";"114485";"112874";"141173";"162983";"175374";"184219"
"Ubiratã (PR)";"125468";"127325";"172011";"241260";"218772";"217369";"218715";"235767";"303741";"290535";"349614";"388583";"519471"
"Umuarama (PR)";"501816";"513144";"575780";"695935";"756685";"863108";"929390";"1003288";"1083766";"1251850";"1380178";"1545751";"1756340"
"União da Vitória (PR)";"246123";"260023";"311473";"388867";"445801";"469721";"538459";"536228";"519599";"576199";"659523";"679960";"719127"
"Uniflor (PR)";"8426";"8997";"11248";"15499";"16195";"15102";"16152";"18162";"19993";"18816";"25952";"29438";"35036"
"Uraí (PR)";"40848";"46319";"58944";"74228";"78811";"75063";"80221";"98179";"119911";"108540";"105084";"127535";"147877"
"Wenceslau Braz (PR)";"61114";"65425";"82738";"102078";"105849";"112012";"124072";"145119";"186966";"197109";"198737";"215961";"263858"
"Ventania (PR)";"41500";"43303";"56900";"87976";"96132";"107376";"88693";"105057";"114107";"103245";"112244";"134543";"152785"
"Vera Cruz do Oeste (PR)";"38889";"43072";"53913";"80870";"77559";"73704";"68516";"88886";"108134";"98200";"110340";"122152";"132746"
"Verê (PR)";"35172";"34608";"44022";"62742";"70896";"61341";"70112";"91840";"122460";"101237";"113545";"126863";"142522"
"Alto Paraíso (PR)";"15275";"16902";"20456";"26727";"27856";"29540";"26665";"29532";"33963";"37762";"46211";"44385";"56561"
"Doutor Ulysses (PR)";"23077";"21761";"22687";"31441";"31982";"76258";"64016";"67350";"63936";"83937";"99814";"89052";"98441"
"Virmond (PR)";"13607";"12717";"19063";"30970";"29855";"26681";"29181";"32032";"42095";"39136";"48897";"50508";"52898"
"Vitorino (PR)";"39318";"38544";"49194";"69750";"79218";"66508";"72391";"98965";"133972";"146860";"147508";"186392";"187694"
"Xambrê (PR)";"15755";"16402";"22493";"26943";"29188";"33745";"34592";"37550";"42970";"43157";"50063";"50255";"62544"
"Abdon Batista (SC)";"10411";"11893";"14276";"17139";"16684";"16143";"18066";"24264";"32661";"35770";"35645";"40249";"46863"
"Abelardo Luz (SC)";"101692";"117274";"148024";"221814";"238979";"201798";"201616";"264762";"345918";"412760";"379191";"393659";"395419"
"Agrolândia (SC)";"42969";"49802";"56130";"77127";"92976";"90099";"102058";"113608";"139329";"139162";"184779";"186841";"162856"
"Agronômica (SC)";"27580";"31593";"41880";"52102";"65125";"63515";"46549";"53876";"65800";"80427";"99335";"89428";"80090"
"Água Doce (SC)";"39651";"50992";"60269";"87791";"105579";"124574";"121897";"120218";"196100";"240233";"197227";"183191";"160108"
"Águas de Chapecó (SC)";"22791";"22447";"26220";"34636";"39796";"38536";"39684";"66279";"116333";"127543";"125141";"97548";"64153"
"Águas Frias (SC)";"10641";"10914";"14321";"18755";"24296";"29750";"31396";"49268";"61168";"57023";"54287";"49300";"42047"
"Águas Mornas (SC)";"26154";"29580";"31603";"45120";"43523";"42641";"42932";"40036";"52516";"54029";"82932";"89419";"80000"
"Alfredo Wagner (SC)";"56567";"66910";"75626";"79887";"89192";"88756";"121709";"95930";"106065";"170123";"183683";"146377";"132803"
"Alto Bela Vista (SC)";"12123";"13782";"15259";"20793";"18976";"22808";"20204";"25196";"29362";"29656";"32939";"36679";"26580"
"Anchieta (SC)";"29009";"30478";"36646";"47878";"54956";"54212";"57203";"65837";"79965";"86884";"93397";"95820";"95926"
"Angelina (SC)";"24119";"25080";"27771";"34203";"35992";"38872";"37541";"39830";"54421";"63271";"65948";"60427";"59689"
"Anita Garibaldi (SC)";"25648";"31237";"39823";"49599";"48417";"53513";"52160";"57616";"69756";"72642";"82319";"94665";"85656"
"Anitápolis (SC)";"19069";"19999";"24058";"29605";"30203";"29108";"31200";"28540";"40163";"37278";"42481";"41585";"35720"
"Antônio Carlos (SC)";"75956";"96379";"97013";"129706";"143695";"169145";"188730";"199403";"212099";"255655";"286147";"283826";"120393"
"Apiúna (SC)";"62982";"80718";"76234";"96514";"126266";"125031";"151139";"178940";"220423";"224882";"256470";"276772";"264660"
"Arabutã (SC)";"19164";"21928";"23836";"30611";"34722";"35434";"32199";"41118";"51552";"51348";"48198";"72969";"56817"
"Araquari (SC)";"93560";"102262";"100337";"144378";"155271";"185611";"226957";"230588";"297149";"329168";"474921";"576996";"637726"
"Araranguá (SC)";"261613";"304357";"351533";"432122";"492480";"530667";"545284";"595639";"701978";"763309";"875563";"1042546";"1185673"
"Armazém (SC)";"30363";"31658";"33886";"42204";"46580";"54172";"57759";"60400";"76116";"88895";"88845";"94999";"82839"
"Arroio Trinta (SC)";"16075";"29014";"20580";"25055";"30027";"31995";"31669";"36489";"45552";"47807";"49782";"56002";"49469"
"Arvoredo (SC)";"8946";"12365";"11037";"17393";"19454";"20812";"17985";"22459";"32520";"32448";"25319";"35066";"27253"
"Ascurra (SC)";"46534";"36766";"48053";"54487";"57848";"64893";"70116";"75215";"78916";"90060";"103204";"111727";"125356"
"Atalanta (SC)";"19433";"29864";"23674";"27982";"31915";"34164";"33404";"38990";"46957";"50439";"60819";"51128";"53260"
"Aurora (SC)";"34960";"45306";"41580";"48307";"59078";"57341";"64353";"74331";"89440";"87195";"102697";"89955";"84386"
"Balneário Arroio do Silva (SC)";"23327";"14635";"30686";"36447";"38920";"44376";"49014";"54007";"60700";"69252";"85738";"96523";"100585"
"Balneário Camboriú (SC)";"478451";"567535";"627520";"739122";"853517";"1010722";"1147481";"1251824";"1448151";"1705311";"2093074";"2411763";"2530215"
"Balneário Barra do Sul (SC)";"25480";"29027";"32915";"39598";"44797";"52512";"65720";"71216";"77421";"84552";"103970";"107084";"113971"
"Balneário Gaivota (SC)";"19559";"23051";"27911";"34167";"35467";"39482";"42663";"47512";"55281";"63663";"70721";"78858";"83367"
"Bandeirante (SC)";"9395";"10556";"11561";"17392";"20227";"21351";"18545";"23453";"29786";"32933";"37910";"39928";"34117"
"Barra Bonita (SC)";"9243";"10029";"10872";"16082";"17341";"16234";"16111";"19200";"25515";"25590";"27271";"25327";"23416"
"Barra Velha (SC)";"61371";"72607";"84768";"118916";"160920";"209934";"230583";"256253";"278237";"322520";"374489";"434832";"569899"
"Bela Vista do Toldo (SC)";"25863";"29343";"39990";"56297";"57160";"54106";"51698";"69475";"88746";"93125";"109324";"91755";"82701"
"Belmonte (SC)";"10887";"12099";"11664";"18843";"21339";"21710";"20767";"23245";"27637";"31281";"32435";"37504";"34231"
"Benedito Novo (SC)";"42489";"47868";"57104";"76414";"96113";"99498";"116966";"112373";"112195";"119538";"136481";"139881";"138261"
"Biguaçu (SC)";"453051";"524410";"555235";"732272";"759644";"841163";"874591";"1036062";"1092240";"1204810";"1445676";"1571798";"1063994"
"Blumenau (SC)";"3237546";"3512937";"3772220";"4111991";"4697760";"5254645";"6075171";"6677608";"7390216";"7677767";"9284364";"10208664";"10927079"
"Bocaina do Sul (SC)";"24106";"26155";"30125";"30756";"27548";"31143";"31930";"36095";"39573";"48119";"61092";"53286";"43485"
"Bombinhas (SC)";"48555";"58704";"68329";"82006";"91236";"107493";"129940";"145146";"160033";"178942";"219317";"242512";"255189"
"Bom Jardim da Serra (SC)";"16342";"20681";"21255";"34190";"27509";"31679";"39376";"36945";"49865";"47626";"57238";"60881";"54945"
"Bom Jesus (SC)";"9851";"10622";"12130";"25189";"26548";"25006";"25241";"32884";"40250";"58638";"44641";"49369";"45058"
"Bom Jesus do Oeste (SC)";"9285";"9877";"12888";"16846";"18583";"16045";"15183";"19597";"27255";"27878";"28422";"31839";"27315"
"Bom Retiro (SC)";"46067";"71234";"76516";"80779";"76581";"86958";"90689";"87004";"103648";"116326";"142035";"139123";"136389"
"Botuverá (SC)";"30327";"34492";"29370";"34252";"41409";"43562";"50631";"56053";"70812";"81107";"105661";"114535";"109458"
"Braço do Norte (SC)";"171096";"193279";"242966";"265526";"345102";"338360";"332070";"365515";"433965";"503135";"590754";"602065";"620789"
"Braço do Trombudo (SC)";"30279";"35928";"38311";"48512";"62398";"69794";"71566";"81984";"110284";"84506";"128836";"153063";"131614"
"Brunópolis (SC)";"15250";"18155";"23843";"32714";"30258";"26640";"30186";"30458";"38411";"41496";"50879";"50211";"43445"
"Brusque (SC)";"1244781";"962191";"1083310";"1221887";"1476834";"1672054";"1902367";"2062481";"2315147";"2431872";"3009091";"3300373";"3522748"
"Caçador (SC)";"483251";"583258";"646380";"810524";"938666";"1007444";"1120243";"1155214";"1240314";"1308903";"1600619";"1745746";"1731079"
"Caibi (SC)";"34645";"36763";"43482";"61477";"64069";"62368";"68918";"83269";"96669";"100566";"88801";"93790";"87474"
"Calmon (SC)";"11137";"13438";"12100";"21004";"20355";"31065";"33960";"37526";"38412";"41163";"55854";"43144";"37972"
"Camboriú (SC)";"115538";"133352";"148978";"187078";"208990";"246338";"283232";"322004";"392787";"445344";"568771";"672276";"730796"
"Capão Alto (SC)";"16659";"18243";"19773";"25290";"26720";"28937";"30959";"29673";"44022";"47536";"54981";"58238";"57605"
"Campo Alegre (SC)";"68281";"72663";"93101";"107115";"125086";"120343";"123580";"128500";"144187";"169929";"207872";"228995";"200126"
"Campo Belo do Sul (SC)";"31824";"40692";"52064";"65111";"66307";"62309";"62043";"77102";"86524";"96004";"98428";"109764";"98023"
"Campo Erê (SC)";"65949";"73997";"90288";"134079";"142686";"113454";"126998";"154812";"196232";"187777";"165509";"179589";"163982"
"Campos Novos (SC)";"239354";"277990";"312426";"395844";"381015";"403852";"412321";"524674";"612111";"793417";"810282";"910132";"912615"
"Canelinha (SC)";"36712";"40386";"40802";"48088";"56011";"59250";"67542";"76196";"85724";"101658";"114597";"127349";"140821"
"Canoinhas (SC)";"317797";"353837";"450434";"560471";"649783";"640856";"645678";"687823";"817966";"870836";"954879";"968051";"977835"
"Capinzal (SC)";"281889";"374072";"392792";"427014";"487160";"469494";"441207";"510518";"582856";"579304";"503306";"604422";"633961"
"Capivari de Baixo (SC)";"60959";"74817";"82412";"99148";"105125";"116655";"133700";"148724";"258149";"254223";"332774";"374016";"386447"
"Catanduvas (SC)";"134269";"140595";"165277";"203471";"221901";"229985";"217546";"226261";"258078";"236885";"124579";"151866";"163573"
"Caxambu do Sul (SC)";"26862";"29022";"27855";"44169";"40893";"38845";"42467";"49380";"55638";"55961";"59405";"71275";"66805"
"Celso Ramos (SC)";"10689";"12506";"15918";"18040";"19472";"17689";"19163";"25242";"33555";"32333";"37186";"39808";"31224"
"Cerro Negro (SC)";"10777";"13080";"15766";"17899";"16605";"17801";"17525";"21884";"27998";"29813";"32987";"37946";"36580"
"Chapadão do Lageado (SC)";"13695";"15324";"20864";"24715";"31075";"29412";"29472";"34975";"43731";"47421";"60864";"46065";"46195"
"Chapecó (SC)";"1485167";"1727412";"2001215";"2391271";"2716482";"2836978";"3045668";"3522637";"4295183";"4342689";"3932030";"4507516";"5259307"
"Cocal do Sul (SC)";"135913";"140282";"150903";"180744";"213173";"217465";"237227";"238259";"285184";"312716";"429084";"436128";"659967"
"Concórdia (SC)";"714102";"827331";"906604";"1015832";"1143414";"1295791";"1229176";"1390643";"1640957";"1645588";"1361277";"1578979";"2416217"
"Cordilheira Alta (SC)";"34117";"38689";"52830";"66115";"76020";"84651";"92591";"118087";"143821";"129050";"118244";"162204";"153409"
"Coronel Freitas (SC)";"49062";"53944";"60214";"76660";"89911";"108666";"112080";"122839";"163699";"165359";"175995";"174355";"162459"
"Coronel Martins (SC)";"9947";"10727";"12321";"18842";"18995";"18711";"17450";"24285";"32412";"32833";"32877";"36255";"26715"
"Corupá (SC)";"62754";"75719";"86094";"103318";"136039";"149691";"149667";"167358";"185676";"202101";"258044";"297714";"245215"
"Correia Pinto (SC)";"181553";"209584";"247570";"272162";"269741";"224530";"260461";"318041";"344518";"343931";"322102";"347522";"324704"
"Criciúma (SC)";"1221207";"1350061";"1497772";"1688728";"1956874";"2119593";"2381129";"2534434";"2790760";"3188577";"3696050";"4371035";"5072699"
"Cunha Porã (SC)";"68369";"73625";"102097";"140927";"157731";"230072";"141714";"173820";"232325";"231714";"192928";"214948";"263508"
"Cunhataí (SC)";"8790";"8014";"10622";"14824";"16592";"16610";"14035";"18206";"23267";"23322";"26496";"27294";"22047"
"Curitibanos (SC)";"209252";"234200";"264835";"314185";"360371";"382182";"448353";"431267";"499543";"542247";"589850";"589743";"618793"
"Descanso (SC)";"49430";"56264";"64404";"80247";"85236";"88978";"85613";"101047";"129199";"135437";"122066";"139031";"126604"
"Dionísio Cerqueira (SC)";"49439";"60336";"68232";"83860";"87465";"104963";"130361";"172693";"230492";"256401";"289297";"334767";"337057"
"Dona Emma (SC)";"16164";"17314";"21277";"25571";"27943";"33527";"32802";"35120";"41304";"46203";"52295";"54638";"49353"
"Doutor Pedrinho (SC)";"13913";"15510";"15465";"20852";"22452";"22833";"24701";"26122";"30076";"38511";"43210";"47285";"49321"
"Entre Rios (SC)";"7013";"8152";"8913";"11710";"13333";"16476";"16023";"19025";"23352";"23737";"24727";"30063";"28343"
"Ermo (SC)";"15150";"20302";"25995";"36743";"41790";"42437";"37180";"43079";"35275";"40626";"38204";"39594";"45632"
"Erval Velho (SC)";"21117";"24445";"28623";"38214";"39805";"40486";"40113";"44574";"65133";"55831";"64489";"81472";"66511"
"Faxinal dos Guedes (SC)";"68082";"81389";"96259";"130131";"136060";"156016";"151955";"170707";"204181";"209776";"232029";"265322";"237609"
"Flor do Sertão (SC)";"6952";"6607";"7976";"12269";"11812";"12272";"12192";"14000";"16756";"18390";"18311";"21487";"20752"
"Florianópolis (SC)";"2967807";"3341375";"4025976";"4475703";"5080524";"6023014";"6652325";"7086385";"8125541";"8289200";"10388875";"11431272";"12614711"
"Formosa do Sul (SC)";"10198";"10729";"13820";"17023";"18247";"20107";"20117";"25808";"32561";"33452";"37780";"41503";"35844"
"Forquilhinha (SC)";"312671";"298687";"211668";"267276";"363150";"365359";"354607";"406747";"527592";"525018";"599656";"609549";"566501"
"Fraiburgo (SC)";"262045";"257060";"287144";"319111";"347294";"388071";"489440";"462272";"483956";"506027";"508800";"547718";"574867"
"Frei Rogério (SC)";"19773";"24020";"18990";"25888";"21918";"21535";"28026";"27716";"43030";"47818";"47671";"35237";"37788"
"Galvão (SC)";"20170";"21785";"29527";"39290";"46678";"41408";"35802";"45324";"54960";"52433";"48563";"56730";"43613"
"Garopaba (SC)";"53177";"64865";"71720";"91055";"110077";"126747";"150973";"152431";"166924";"197866";"222667";"250775";"254137"
"Garuva (SC)";"42416";"53588";"61687";"86308";"114539";"128000";"165775";"212831";"262050";"276419";"391148";"443017";"457452"
"Gaspar (SC)";"419676";"475516";"527749";"847195";"715018";"797959";"864521";"996833";"1062566";"1179922";"1508561";"1650774";"1796385"
"Governador Celso Ramos (SC)";"40028";"46144";"52132";"61584";"68205";"76686";"87027";"92757";"104791";"117489";"143783";"153837";"186924"
"Grão Pará (SC)";"35932";"37808";"47826";"54884";"70004";"79539";"69051";"96939";"103430";"114741";"103183";"112584";"97156"
"Gravatal (SC)";"30325";"32594";"39677";"51849";"53031";"59127";"63031";"70546";"86257";"121243";"97039";"103188";"92179"
"Guabiruba (SC)";"75986";"85256";"97972";"112639";"145478";"172205";"223069";"268565";"302356";"361256";"503186";"549766";"514220"
"Guaraciaba (SC)";"47785";"56635";"59709";"80756";"94525";"103399";"97921";"111415";"135512";"139095";"149369";"169841";"155991"
"Guaramirim (SC)";"349108";"363747";"361686";"454241";"566699";"643130";"746899";"937501";"1130766";"1328988";"1605450";"1708333";"1040060"
"Guarujá do Sul (SC)";"20531";"24647";"26982";"36877";"40585";"40000";"49494";"64735";"97441";"97982";"83933";"91036";"93789"
"Guatambú (SC)";"18788";"21463";"25967";"35740";"55562";"68672";"79214";"103898";"145922";"115178";"120848";"153070";"117931"
"Herval d'Oeste (SC)";"138926";"161313";"161532";"201005";"225033";"239795";"268546";"274403";"306668";"326477";"234233";"269414";"339385"
"Ibiam (SC)";"8280";"9198";"9776";"13713";"15304";"17289";"15587";"20845";"29279";"24629";"24191";"29713";"25374"
"Ibicaré (SC)";"18905";"21097";"24524";"31442";"31940";"32174";"30153";"37374";"46986";"46810";"49755";"59774";"56543"
"Ibirama (SC)";"104613";"111017";"111532";"127250";"147869";"153596";"162028";"173301";"193872";"210387";"278523";"295530";"260883"
"Içara (SC)";"277919";"296343";"344979";"426465";"487187";"545208";"588607";"678796";"823094";"950169";"950521";"1041115";"1155190"
"Ilhota (SC)";"44457";"55597";"86935";"111884";"75567";"87923";"104058";"98475";"117215";"119233";"213170";"267522";"275250"
"Imaruí (SC)";"38758";"48578";"56273";"72092";"85072";"82241";"86915";"97901";"109107";"128563";"132208";"130336";"127131"
"Imbituba (SC)";"156682";"213680";"198903";"244557";"344264";"409002";"628062";"731925";"848439";"947007";"902823";"858738";"979538"
"Imbuia (SC)";"28685";"36421";"41554";"45268";"52176";"53475";"56282";"64548";"79237";"90570";"101393";"87108";"85706"
"Indaial (SC)";"371360";"426214";"462645";"574583";"701941";"729883";"838731";"911986";"1008071";"1081199";"1398852";"1497910";"1434542"
"Iomerê (SC)";"14664";"16609";"17073";"22739";"27659";"30032";"28256";"32807";"41793";"41852";"39329";"53085";"35834"
"Ipira (SC)";"17358";"19479";"20793";"26176";"28739";"31216";"30393";"33511";"41310";"43036";"44613";"63812";"57819"
"Iporã do Oeste (SC)";"41363";"47114";"55658";"71896";"75240";"80665";"74686";"90124";"117837";"123014";"124258";"150348";"132019"
